,blue_r,blue_x,blue_y,duration,safe_r,safe_x,safe_y,time
0,5797.186875,4063.875,4063.875,0,0.0,0.0,0.0,18:56:15
1,5797.186875,4063.875,4063.875,10,0.0,0.0,0.0,18:56:25
2,5797.186875,4063.875,4063.875,20,0.0,0.0,0.0,18:56:35
3,5797.186875,4063.875,4063.875,30,0.0,0.0,0.0,18:56:45
4,5797.186875,4063.875,4063.875,40,0.0,0.0,0.0,18:56:55
5,5797.186875,4063.875,4063.875,50,0.0,0.0,0.0,18:57:05
6,5797.186875,4063.875,4063.875,60,0.0,0.0,0.0,18:57:15
7,5797.186875,4063.875,4063.875,70,0.0,0.0,0.0,18:57:25
8,5797.186875,4063.875,4063.875,80,0.0,0.0,0.0,18:57:35
9,5797.186875,4063.875,4063.875,90,0.0,0.0,0.0,18:57:45
10,5797.186875,4063.875,4063.875,100,0.0,0.0,0.0,18:57:55
11,5797.186875,4063.875,4063.875,110,0.0,0.0,0.0,18:58:05
12,5797.186875,4063.875,4063.875,120,2318.87484375,6408.08875,4636.30125,18:58:15
13,5797.186875,4063.875,4063.875,130,2318.87484375,6408.08875,4636.30125,18:58:25
14,5797.186875,4063.875,4063.875,140,2318.87484375,6408.08875,4636.30125,18:58:35
15,5797.186875,4063.875,4063.875,150,2318.87484375,6408.08875,4636.30125,18:58:45
16,5797.186875,4063.875,4063.875,160,2318.87484375,6408.08875,4636.30125,18:58:55
17,5797.186875,4063.875,4063.875,170,2318.87484375,6408.08875,4636.30125,18:59:05
18,5797.186875,4063.875,4063.875,180,2318.87484375,6408.08875,4636.30125,18:59:15
19,5797.186875,4063.875,4063.875,190,2318.87484375,6408.08875,4636.30125,18:59:25
20,5797.186875,4063.875,4063.875,200,2318.87484375,6408.08875,4636.30125,18:59:35
21,5797.186875,4063.875,4063.875,210,2318.87484375,6408.08875,4636.30125,18:59:45
22,5797.186875,4063.875,4063.875,220,2318.87484375,6408.08875,4636.30125,18:59:55
23,5797.186875,4063.875,4063.875,230,2318.87484375,6408.08875,4636.30125,19:00:05
24,5797.186875,4063.875,4063.875,240,2318.87484375,6408.08875,4636.30125,19:00:15
25,5797.186875,4063.875,4063.875,250,2318.87484375,6408.08875,4636.30125,19:00:25
26,5797.186875,4063.875,4063.875,260,2318.87484375,6408.08875,4636.30125,19:00:35
27,5797.186875,4063.875,4063.875,270,2318.87484375,6408.08875,4636.30125,19:00:45
28,5797.186875,4063.875,4063.875,280,2318.87484375,6408.08875,4636.30125,19:00:55
29,5797.186875,4063.875,4063.875,290,2318.87484375,6408.08875,4636.30125,19:01:05
30,5797.186875,4063.875,4063.875,300,2318.87484375,6408.08875,4636.30125,19:01:15
31,5797.186875,4063.875,4063.875,310,2318.87484375,6408.08875,4636.30125,19:01:25
32,5797.186875,4063.875,4063.875,320,2318.87484375,6408.08875,4636.30125,19:01:35
33,5797.186875,4063.875,4063.875,330,2318.87484375,6408.08875,4636.30125,19:01:45
34,5797.186875,4063.875,4063.875,340,2318.87484375,6408.08875,4636.30125,19:01:55
35,5797.186875,4063.875,4063.875,350,2318.87484375,6408.08875,4636.30125,19:02:05
36,5797.186875,4063.875,4063.875,360,2318.87484375,6408.08875,4636.30125,19:02:15
37,5797.186875,4063.875,4063.875,370,2318.87484375,6408.08875,4636.30125,19:02:25
38,5797.186875,4063.875,4063.875,380,2318.87484375,6408.08875,4636.30125,19:02:35
39,5797.186875,4063.875,4063.875,390,2318.87484375,6408.08875,4636.30125,19:02:45
40,5797.186875,4063.875,4063.875,400,2318.87484375,6408.08875,4636.30125,19:02:55
41,5797.186875,4063.875,4063.875,410,2318.87484375,6408.08875,4636.30125,19:03:05
42,5681.605625,4141.7709375,4082.89625,420,2318.87484375,6408.08875,4636.30125,19:03:15
43,5565.47,4220.04125,4102.00875,430,2318.87484375,6408.08875,4636.30125,19:03:25
44,5449.44375,4298.2371875,4121.103125,440,2318.87484375,6408.08875,4636.30125,19:03:35
45,5333.843125,4376.14625,4140.1275,450,2318.87484375,6408.08875,4636.30125,19:03:45
