,blue_r,blue_x,blue_y,duration,safe_r,safe_x,safe_y,time
0,5797.186875,4063.875,4063.875,0,0.0,0.0,0.0,19:30:23
1,5797.186875,4063.875,4063.875,10,0.0,0.0,0.0,19:30:33
2,5797.186875,4063.875,4063.875,20,0.0,0.0,0.0,19:30:43
3,5797.186875,4063.875,4063.875,30,0.0,0.0,0.0,19:30:53
4,5797.186875,4063.875,4063.875,40,0.0,0.0,0.0,19:31:03
5,5797.186875,4063.875,4063.875,50,0.0,0.0,0.0,19:31:13
6,5797.186875,4063.875,4063.875,60,0.0,0.0,0.0,19:31:23
7,5797.186875,4063.875,4063.875,70,0.0,0.0,0.0,19:31:33
8,5797.186875,4063.875,4063.875,80,0.0,0.0,0.0,19:31:43
9,5797.186875,4063.875,4063.875,90,0.0,0.0,0.0,19:31:53
10,5797.186875,4063.875,4063.875,100,0.0,0.0,0.0,19:32:03
11,5797.186875,4063.875,4063.875,110,0.0,0.0,0.0,19:32:13
12,5797.186875,4063.875,4063.875,120,2318.87484375,3532.4953125,4912.221875,19:32:23
13,5797.186875,4063.875,4063.875,130,2318.87484375,3532.4953125,4912.221875,19:32:33
14,5797.186875,4063.875,4063.875,140,2318.87484375,3532.4953125,4912.221875,19:32:43
15,5797.186875,4063.875,4063.875,150,2318.87484375,3532.4953125,4912.221875,19:32:53
16,5797.186875,4063.875,4063.875,160,2318.87484375,3532.4953125,4912.221875,19:33:03
17,5797.186875,4063.875,4063.875,170,2318.87484375,3532.4953125,4912.221875,19:33:13
18,5797.186875,4063.875,4063.875,180,2318.87484375,3532.4953125,4912.221875,19:33:23
19,5797.186875,4063.875,4063.875,190,2318.87484375,3532.4953125,4912.221875,19:33:33
20,5797.186875,4063.875,4063.875,200,2318.87484375,3532.4953125,4912.221875,19:33:43
21,5797.186875,4063.875,4063.875,210,2318.87484375,3532.4953125,4912.221875,19:33:53
22,5797.186875,4063.875,4063.875,220,2318.87484375,3532.4953125,4912.221875,19:34:03
23,5797.186875,4063.875,4063.875,230,2318.87484375,3532.4953125,4912.221875,19:34:13
24,5797.186875,4063.875,4063.875,240,2318.87484375,3532.4953125,4912.221875,19:34:23
25,5797.186875,4063.875,4063.875,250,2318.87484375,3532.4953125,4912.221875,19:34:33
26,5797.186875,4063.875,4063.875,260,2318.87484375,3532.4953125,4912.221875,19:34:43
27,5797.186875,4063.875,4063.875,270,2318.87484375,3532.4953125,4912.221875,19:34:53
28,5797.186875,4063.875,4063.875,280,2318.87484375,3532.4953125,4912.221875,19:35:03
29,5797.186875,4063.875,4063.875,290,2318.87484375,3532.4953125,4912.221875,19:35:13
30,5797.186875,4063.875,4063.875,300,2318.87484375,3532.4953125,4912.221875,19:35:23
31,5797.186875,4063.875,4063.875,310,2318.87484375,3532.4953125,4912.221875,19:35:33
32,5797.186875,4063.875,4063.875,320,2318.87484375,3532.4953125,4912.221875,19:35:43
33,5797.186875,4063.875,4063.875,330,2318.87484375,3532.4953125,4912.221875,19:35:53
34,5797.186875,4063.875,4063.875,340,2318.87484375,3532.4953125,4912.221875,19:36:03
35,5797.186875,4063.875,4063.875,350,2318.87484375,3532.4953125,4912.221875,19:36:13
36,5797.186875,4063.875,4063.875,360,2318.87484375,3532.4953125,4912.221875,19:36:23
37,5797.186875,4063.875,4063.875,370,2318.87484375,3532.4953125,4912.221875,19:36:33
38,5797.186875,4063.875,4063.875,380,2318.87484375,3532.4953125,4912.221875,19:36:43
39,5797.186875,4063.875,4063.875,390,2318.87484375,3532.4953125,4912.221875,19:36:53
40,5797.186875,4063.875,4063.875,400,2318.87484375,3532.4953125,4912.221875,19:37:03
41,5797.186875,4063.875,4063.875,410,2318.87484375,3532.4953125,4912.221875,19:37:13
42,5681.94375,4046.269375,4091.9825,420,2318.87484375,3532.4953125,4912.221875,19:37:23
43,5565.69375,4028.51,4120.3353125,430,2318.87484375,3532.4953125,4912.221875,19:37:33
44,5449.965,4010.83,4148.56125,440,2318.87484375,3532.4953125,4912.221875,19:37:43
45,5334.12875,3993.13375,4176.813125,450,2318.87484375,3532.4953125,4912.221875,19:37:53
46,5218.3375,3975.444375,4205.0540625,460,2318.87484375,3532.4953125,4912.221875,19:38:03
47,5102.3365625,3957.723125,4233.34625,470,2318.87484375,3532.4953125,4912.221875,19:38:13
48,4986.09,3939.9640625,4261.6984375,480,2318.87484375,3532.4953125,4912.221875,19:38:23
49,4870.3340625,3922.2803125,4289.9309375,490,2318.87484375,3532.4953125,4912.221875,19:38:33
50,4754.026875,3904.511875,4318.2978125,500,2318.87484375,3532.4953125,4912.221875,19:38:43
51,4638.3525,3886.840625,4346.5103125,510,2318.87484375,3532.4953125,4912.221875,19:38:53
52,4522.6575,3869.1659375,4374.7278125,520,2318.87484375,3532.4953125,4912.221875,19:39:03
53,4406.334375,3851.3953125,4403.0984375,530,2318.87484375,3532.4953125,4912.221875,19:39:13
54,4290.43625,3833.6896875,4431.365625,540,2318.87484375,3532.4953125,4912.221875,19:39:23
55,4174.863125,3816.0334375,4459.5534375,550,2318.87484375,3532.4953125,4912.221875,19:39:33
56,4058.8934375,3798.316875,4487.838125,560,2318.87484375,3532.4953125,4912.221875,19:39:43
57,3942.83125,3780.58625,4516.145,570,2318.87484375,3532.4953125,4912.221875,19:39:53
58,3826.795,3762.859375,4544.4459375,580,2318.87484375,3532.4953125,4912.221875,19:40:03
59,3710.87125,3745.1496875,4572.719375,590,2318.87484375,3532.4953125,4912.221875,19:40:13
60,3595.101875,3727.46375,4600.955,600,2318.87484375,3532.4953125,4912.221875,19:40:23
61,3478.9825,3709.724375,4629.2759375,610,2318.87484375,3532.4953125,4912.221875,19:40:33
62,3362.955625,3691.99875,4657.5746875,620,2318.87484375,3532.4953125,4912.221875,19:40:43
63,3247.276875,3674.3265625,4685.788125,630,2318.87484375,3532.4953125,4912.221875,19:40:53
64,3131.0990625,3656.578125,4714.1234375,640,2318.87484375,3532.4953125,4912.221875,19:41:03
65,3015.1546875,3638.865625,4742.401875,650,2318.87484375,3532.4953125,4912.221875,19:41:13
66,2899.0896875,3621.134375,4770.7096875,660,2318.87484375,3532.4953125,4912.221875,19:41:23
67,2783.1240625,3603.4184375,4798.9934375,670,2318.87484375,3532.4953125,4912.221875,19:41:33
68,2667.4890625,3585.7528125,4827.19625,680,2318.87484375,3532.4953125,4912.221875,19:41:43
69,2551.33,3568.0075,4855.526875,690,2318.87484375,3532.4953125,4912.221875,19:41:53
70,2435.6128125,3550.329375,4883.75,700,2318.87484375,3532.4953125,4912.221875,19:42:03
71,2319.3965625,3532.575,4912.0946875,710,2318.87484375,3532.4953125,4912.221875,19:42:13
72,2318.87484375,3532.4953125,4912.221875,720,1507.26859375,3025.78375,4554.8321875,19:42:23
73,2318.87484375,3532.4953125,4912.221875,730,1507.26859375,3025.78375,4554.8321875,19:42:33
74,2318.87484375,3532.4953125,4912.221875,740,1507.26859375,3025.78375,4554.8321875,19:42:43
75,2318.87484375,3532.4953125,4912.221875,750,1507.26859375,3025.78375,4554.8321875,19:42:53
76,2318.87484375,3532.4953125,4912.221875,760,1507.26859375,3025.78375,4554.8321875,19:43:03
77,2318.87484375,3532.4953125,4912.221875,770,1507.26859375,3025.78375,4554.8321875,19:43:13
78,2318.87484375,3532.4953125,4912.221875,780,1507.26859375,3025.78375,4554.8321875,19:43:23
79,2318.87484375,3532.4953125,4912.221875,790,1507.26859375,3025.78375,4554.8321875,19:43:33
80,2318.87484375,3532.4953125,4912.221875,800,1507.26859375,3025.78375,4554.8321875,19:43:43
81,2318.87484375,3532.4953125,4912.221875,810,1507.26859375,3025.78375,4554.8321875,19:43:53
82,2318.87484375,3532.4953125,4912.221875,820,1507.26859375,3025.78375,4554.8321875,19:44:03
83,2318.87484375,3532.4953125,4912.221875,830,1507.26859375,3025.78375,4554.8321875,19:44:13
84,2318.87484375,3532.4953125,4912.221875,840,1507.26859375,3025.78375,4554.8321875,19:44:23
85,2318.87484375,3532.4953125,4912.221875,850,1507.26859375,3025.78375,4554.8321875,19:44:33
86,2318.87484375,3532.4953125,4912.221875,860,1507.26859375,3025.78375,4554.8321875,19:44:43
87,2318.87484375,3532.4953125,4912.221875,870,1507.26859375,3025.78375,4554.8321875,19:44:53
88,2318.87484375,3532.4953125,4912.221875,880,1507.26859375,3025.78375,4554.8321875,19:45:03
89,2318.87484375,3532.4953125,4912.221875,890,1507.26859375,3025.78375,4554.8321875,19:45:13
90,2318.87484375,3532.4953125,4912.221875,900,1507.26859375,3025.78375,4554.8321875,19:45:23
91,2318.87484375,3532.4953125,4912.221875,910,1507.26859375,3025.78375,4554.8321875,19:45:33
92,2261.98625,3496.9778125,4887.1709375,920,1507.26859375,3025.78375,4554.8321875,19:45:43
93,2204.13765625,3460.86125,4861.6975,930,1507.26859375,3025.78375,4554.8321875,19:45:53
94,2146.13765625,3424.65,4836.1571875,940,1507.26859375,3025.78375,4554.8321875,19:46:03
95,2088.14921875,3388.4459375,4810.6221875,950,1507.26859375,3025.78375,4554.8321875,19:46:13
