,blue_r,blue_x,blue_y,duration,red_r,red_x,red_y,safe_r,safe_x,safe_y,time
0,2912.1915625,2023.875,2023.875,0,0.0,0.0,0.0,0.0,0.0,0.0,20:42:24
1,2912.1915625,2023.875,2023.875,10,0.0,0.0,0.0,0.0,0.0,0.0,20:42:34
2,2912.1915625,2023.875,2023.875,20,0.0,0.0,0.0,0.0,0.0,0.0,20:42:44
3,2912.1915625,2023.875,2023.875,30,0.0,0.0,0.0,0.0,0.0,0.0,20:42:54
4,2912.1915625,2023.875,2023.875,40,0.0,0.0,0.0,0.0,0.0,0.0,20:43:04
5,2912.1915625,2023.875,2023.875,50,0.0,0.0,0.0,0.0,0.0,0.0,20:43:14
6,2912.1915625,2023.875,2023.875,60,0.0,0.0,0.0,0.0,0.0,0.0,20:43:24
7,2912.1915625,2023.875,2023.875,70,0.0,0.0,0.0,0.0,0.0,0.0,20:43:34
8,2912.1915625,2023.875,2023.875,80,0.0,0.0,0.0,0.0,0.0,0.0,20:43:44
9,2912.1915625,2023.875,2023.875,90,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:43:54
10,2912.1915625,2023.875,2023.875,100,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:44:04
11,2912.1915625,2023.875,2023.875,110,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:44:14
12,2912.1915625,2023.875,2023.875,120,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:44:24
13,2912.1915625,2023.875,2023.875,130,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:44:34
14,2912.1915625,2023.875,2023.875,140,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:44:44
15,2912.1915625,2023.875,2023.875,150,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:44:54
16,2912.1915625,2023.875,2023.875,160,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:45:04
17,2912.1915625,2023.875,2023.875,170,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:45:14
18,2912.1915625,2023.875,2023.875,180,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:45:24
19,2912.1915625,2023.875,2023.875,190,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:45:34
20,2912.1915625,2023.875,2023.875,200,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:45:44
21,2851.7665625,2012.74578125,1977.925625,210,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:45:54
22,2791.1075,2001.5734375,1931.79828125,220,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:46:04
23,2730.330625,1990.379375,1885.58140625,230,0.0,0.0,0.0,1456.09578125,1755.686875,916.607109375,20:46:14
