,ID,duration,health,number_alive,time,x,y
238,61,25,100.0,100,18:56:40,3152.12125,4395.23125
236,8,25,100.0,100,18:56:40,2762.3740625,5311.679375
235,67,25,100.0,100,18:56:40,3121.86375,4441.13875
240,12,25,100.0,100,18:56:40,3157.37375,4387.2621875
246,70,26,100.0,100,18:56:41,2674.5609375,4869.0565625
247,98,26,100.0,100,18:56:41,3234.2175,4274.0384375
248,53,27,100.0,100,18:56:42,3347.55375,4098.718125
255,48,28,100.0,100,18:56:43,3344.3228125,4118.134375
254,52,28,100.0,100,18:56:43,3426.2559375,3979.31
253,16,28,100.0,100,18:56:43,2856.8309375,5310.889375
252,79,28,100.0,100,18:56:43,3405.2778125,4011.138125
250,83,28,100.0,100,18:56:43,2756.706875,5451.58375
249,31,28,100.0,100,18:56:43,3363.0884375,4075.14875
251,93,28,100.0,100,18:56:43,3326.134375,4130.8271875
273,20,29,100.0,100,18:56:44,3212.08875,4411.338125
272,39,29,100.0,100,18:56:44,3506.8584375,3857.018125
271,75,29,100.0,100,18:56:44,3506.8584375,3857.018125
270,92,29,100.0,100,18:56:44,3506.8584375,3857.018125
269,59,29,100.0,100,18:56:44,3148.96375,4416.0
268,6,29,100.0,100,18:56:44,3506.8584375,3857.018125
267,7,29,100.0,100,18:56:44,3323.8546875,4145.6325
266,11,29,100.0,100,18:56:44,1437.968125,6873.380625
265,73,29,100.0,100,18:56:44,3441.2634375,3978.8853125
263,40,29,100.0,100,18:56:44,968.96734375,7279.24625
262,50,29,100.0,100,18:56:44,3170.3475,4514.2640625
261,51,29,100.0,100,18:56:44,3183.20375,4260.9403125
260,89,29,100.0,100,18:56:44,3336.18,4211.4409375
259,60,29,100.0,100,18:56:44,3494.4025,3875.916875
258,32,29,100.0,100,18:56:44,3383.6109375,4040.6765625
257,81,29,100.0,100,18:56:44,3481.0503125,3896.1746875
256,13,29,100.0,100,18:56:44,3460.2721875,3927.7
264,15,29,100.0,100,18:56:44,3506.8584375,3857.018125
290,54,30,100.0,100,18:56:45,928.948125,7309.579375
291,21,30,100.0,100,18:56:45,2735.53875,4741.72375
292,19,30,100.0,100,18:56:45,3564.0321875,3770.2734375
293,68,30,100.0,100,18:56:45,3564.0321875,3770.2734375
294,69,30,100.0,100,18:56:45,3296.198125,4214.85375
300,65,30,100.0,100,18:56:45,936.930234375,7320.668125
296,24,30,100.0,100,18:56:45,3585.24875,3738.083125
297,94,30,100.0,100,18:56:45,3587.896875,3734.0653125
298,56,30,100.0,100,18:56:45,3590.54375,3730.049375
299,43,30,100.0,100,18:56:45,3593.1903125,3726.0334375
289,28,30,100.0,100,18:56:45,2591.1034375,4762.2740625
295,29,30,100.0,100,18:56:45,3582.601875,3742.0984375
288,36,30,100.0,100,18:56:45,932.629375,7252.56625
276,26,30,100.0,100,18:56:45,3470.6328125,3913.13375
286,85,30,100.0,100,18:56:45,3555.7384375,3782.856875
274,77,30,100.0,100,18:56:45,2437.91203125,4979.949375
275,34,30,100.0,100,18:56:45,3526.376875,3827.404375
277,86,30,100.0,100,18:56:45,3526.376875,3827.404375
278,27,30,100.0,100,18:56:45,2777.996875,4633.695625
279,45,30,100.0,100,18:56:45,3533.46,3816.6578125
287,87,30,100.0,100,18:56:45,3564.0321875,3770.2734375
281,82,30,100.0,100,18:56:45,3533.46,3816.6578125
282,99,30,100.0,100,18:56:45,3533.46,3816.6578125
283,58,30,100.0,100,18:56:45,3394.456875,4056.71
284,4,30,100.0,100,18:56:45,3541.1271875,3805.025
285,9,30,100.0,100,18:56:45,3298.1825,4150.9878125
280,49,30,100.0,100,18:56:45,3215.375,4210.0928125
314,0,31,100.0,100,18:56:46,3673.0646875,3604.846875
313,37,31,100.0,100,18:56:46,3501.863125,3872.2965625
312,23,31,100.0,100,18:56:46,3280.1346875,4064.5221875
311,2,31,100.0,100,18:56:46,3204.6825,4371.50875
309,1,31,100.0,100,18:56:46,3652.1309375,3636.6078125
308,14,31,100.0,100,18:56:46,2281.05234375,5756.93625
310,46,31,100.0,100,18:56:46,3658.8221875,3626.4559375
306,71,31,100.0,100,18:56:46,3626.0028125,3676.2503125
301,17,31,100.0,100,18:56:46,2744.6578125,4661.475
302,66,31,100.0,100,18:56:46,3146.421875,4320.8646875
307,33,31,100.0,100,18:56:46,3385.0428125,4026.1246875
304,88,31,100.0,100,18:56:46,3626.0028125,3676.2503125
305,95,31,100.0,100,18:56:46,2650.348125,4709.71625
303,90,31,100.0,100,18:56:46,3612.1640625,3697.246875
315,78,32,100.0,100,18:56:47,3283.3625,4247.0134375
316,25,32,100.0,100,18:56:47,3687.41125,3583.08
318,5,32,100.0,100,18:56:47,3650.8003125,3652.8959375
319,35,32,100.0,100,18:56:47,3032.229375,4626.501875
320,72,32,100.0,100,18:56:47,3726.7878125,3523.3371875
321,42,32,100.0,100,18:56:47,3436.65625,4180.6346875
322,41,32,100.0,100,18:56:47,2527.45140625,4733.9753125
317,44,32,100.0,100,18:56:47,3529.3809375,3802.7884375
330,74,33,100.0,100,18:56:48,2526.57734375,4679.3309375
327,3,33,100.0,100,18:56:48,3112.2384375,5148.986875
329,91,33,100.0,100,18:56:48,3038.49375,5181.695
328,80,33,100.0,100,18:56:48,3267.3425,4176.340625
326,64,33,100.0,100,18:56:48,914.0721875,7219.39125
324,96,33,100.0,100,18:56:48,3451.8478125,3892.1015625
325,57,33,100.0,100,18:56:48,3095.59625,5140.1009375
323,97,33,100.0,100,18:56:48,2641.406875,4630.8928125
331,22,34,100.0,100,18:56:49,3432.6559375,3929.7696875
332,84,34,100.0,100,18:56:49,3865.768125,3312.4740625
333,30,34,100.0,100,18:56:49,2557.92703125,4642.3521875
334,55,34,100.0,100,18:56:49,3202.5828125,4068.5884375
338,76,35,100.0,100,18:56:50,3041.9778125,4273.2553125
344,63,35,100.0,100,18:56:50,3022.1015625,5320.264375
343,38,35,100.0,100,18:56:50,3108.00625,5524.96125
342,47,35,100.0,100,18:56:50,2806.6075,4361.55375
341,18,35,100.0,100,18:56:50,3217.638125,5065.4034375
337,62,35,100.0,100,18:56:50,902.584921875,7344.69375
339,61,35,100.0,100,18:56:50,3267.245,3938.0065625
345,10,35,100.0,100,18:56:50,3053.554375,5565.6525
336,8,35,100.0,100,18:56:50,3110.1059375,5346.26
335,67,35,100.0,100,18:56:50,3918.2625,3232.829375
340,12,35,100.0,100,18:56:50,3286.3665625,3906.548125
347,98,36,100.0,100,18:56:51,3418.16125,4212.3215625
346,70,36,100.0,100,18:56:51,2427.2321875,4623.114375
348,53,37,100.0,100,18:56:52,3966.7815625,3196.075
349,31,38,100.0,100,18:56:53,3478.745625,3833.7271875
350,83,38,100.0,100,18:56:53,3104.5928125,5450.838125
351,93,38,100.0,100,18:56:53,3321.26875,3955.1240625
352,79,38,100.0,100,18:56:53,3890.715,3291.0503125
353,16,38,100.0,100,18:56:53,3206.799375,5330.48
354,52,38,100.0,100,18:56:53,3802.3221875,3434.500625
355,48,38,100.0,100,18:56:53,3452.01875,4144.894375
367,75,39,100.0,100,18:56:54,3957.52375,3185.3165625
368,11,39,100.0,100,18:56:54,1374.18140625,6986.8475
369,73,39,100.0,100,18:56:54,3668.1571875,4000.5178125
374,77,39,100.0,100,18:56:54,2295.3953125,4662.09375
371,6,39,100.0,100,18:56:54,3752.006875,3479.8184375
372,7,39,100.0,100,18:56:54,3371.3634375,4097.14875
366,40,39,100.0,100,18:56:54,898.838671875,7257.278125
370,92,39,100.0,100,18:56:54,4301.89875,2650.76875
365,15,39,100.0,100,18:56:54,4301.89875,2650.76875
373,59,39,100.0,100,18:56:54,3278.4903125,4396.8796875
363,50,39,100.0,100,18:56:54,3421.165,4407.0171875
362,39,39,100.0,100,18:56:54,3824.9540625,3271.31125
361,51,39,100.0,100,18:56:54,2969.673125,3991.1496875
360,89,39,100.0,100,18:56:54,3527.6028125,4219.1425
359,60,39,100.0,100,18:56:54,3949.790625,3192.684375
358,32,39,100.0,100,18:56:54,3364.045625,3823.51
357,81,39,100.0,100,18:56:54,3617.6671875,3649.735625
364,20,39,100.0,100,18:56:54,3478.596875,4353.5975
356,13,39,100.0,100,18:56:54,4119.9021875,2933.1640625
390,54,40,100.0,100,18:56:55,922.939453125,7272.86125
391,28,40,100.0,100,18:56:55,2349.38234375,4510.7046875
393,19,40,100.0,100,18:56:55,4353.7965625,2572.02875
394,21,40,100.0,100,18:56:55,2463.79,4523.08875
395,29,40,100.0,100,18:56:55,3446.076875,3727.8071875
399,65,40,100.0,100,18:56:55,909.86046875,7292.468125
397,94,40,100.0,100,18:56:55,4377.405625,2536.20875
398,56,40,100.0,100,18:56:55,4379.976875,2532.30765625
389,87,40,100.0,100,18:56:55,4200.6928125,2800.039375
400,43,40,100.0,100,18:56:55,3985.4284375,3141.5296875
396,24,40,100.0,100,18:56:55,4082.9646875,2996.4575
388,68,40,100.0,100,18:56:55,4353.7965625,2572.02875
392,36,40,100.0,100,18:56:55,848.48375,7239.909375
386,85,40,100.0,100,18:56:55,4068.808125,3009.795
387,69,40,100.0,100,18:56:55,3487.7590625,4170.5509375
375,34,40,100.0,100,18:56:55,3811.9053125,3365.2865625
376,86,40,100.0,100,18:56:55,3836.118125,3340.9375
377,26,40,100.0,100,18:56:55,3326.2209375,3634.0546875
379,27,40,100.0,100,18:56:55,2498.91171875,4442.9734375
380,99,40,100.0,100,18:56:55,4326.3434375,2613.68125
378,58,40,100.0,100,18:56:55,3563.23875,4158.1040625
382,45,40,100.0,100,18:56:55,4326.3434375,2613.68125
383,49,40,100.0,100,18:56:55,3001.1184375,3942.7946875
384,4,40,100.0,100,18:56:55,3996.055,3055.068125
385,9,40,100.0,100,18:56:55,3303.894375,3926.500625
381,82,40,100.0,100,18:56:55,4326.3434375,2613.68125
409,1,41,100.0,100,18:56:56,4110.093125,2945.8034375
414,0,41,100.0,100,18:56:56,4458.1728125,2413.66765625
413,37,41,100.0,100,18:56:56,3528.0575,3909.5178125
412,23,41,100.0,100,18:56:56,3079.5515625,3780.4725
411,2,41,100.0,100,18:56:56,3399.3353125,4266.853125
410,46,41,100.0,100,18:56:56,4447.5371875,2429.80375
408,14,41,100.0,100,18:56:56,2162.885,5895.750625
403,90,41,100.0,100,18:56:56,4400.18875,2501.641875
406,71,41,100.0,100,18:56:56,3984.475,3116.979375
405,95,41,100.0,100,18:56:56,2387.2696875,4481.9021875
404,88,41,100.0,100,18:56:56,3960.8628125,3140.53125
402,66,41,100.0,100,18:56:56,2915.8334375,4059.4434375
401,17,41,100.0,100,18:56:56,2462.540625,4472.9240625
407,33,41,100.0,100,18:56:56,3070.1421875,3898.228125
420,72,42,100.0,100,18:56:57,3919.4884375,3290.8478125
422,41,42,100.0,100,18:56:57,2293.41375,4473.643125
421,42,42,100.0,100,18:56:57,3519.8909375,4161.4684375
419,35,42,100.0,100,18:56:57,3266.113125,4518.204375
415,78,42,100.0,100,18:56:57,3501.8321875,4332.5840625
417,44,42,100.0,100,18:56:57,3422.0934375,3664.6834375
416,25,42,100.0,100,18:56:57,4472.3971875,2392.08609375
418,5,42,100.0,100,18:56:57,3585.2690625,3596.4128125
428,80,43,100.0,100,18:56:58,3271.8640625,3952.9675
427,3,43,100.0,100,18:56:58,3446.6590625,5240.5059375
426,64,43,100.0,100,18:56:58,926.3740625,7243.4375
429,91,43,100.0,100,18:56:58,3380.7096875,5241.1703125
424,57,43,100.0,100,18:56:58,3403.8521875,5235.78
423,97,43,100.0,100,18:56:58,2366.11953125,4416.7871875
425,96,43,100.0,100,18:56:58,3220.4671875,3646.839375
430,74,44,100.0,100,18:56:59,2278.15734375,4433.5178125
431,22,44,100.0,100,18:56:59,3340.655625,3785.6371875
432,84,44,100.0,100,18:56:59,3912.4409375,3132.6759375
433,30,44,100.0,100,18:56:59,2282.88125,4427.2209375
434,55,44,100.0,100,18:56:59,3157.0715625,3780.971875
441,18,45,100.0,100,18:57:00,3396.1653125,5359.513125
444,63,45,100.0,100,18:57:00,3252.3865625,5322.185
443,38,45,100.0,100,18:57:00,3426.995,5668.7875
445,10,45,100.0,100,18:57:00,3383.78375,5682.029375
440,12,45,100.0,100,18:57:00,3015.491875,3686.0609375
442,47,45,100.0,100,18:57:00,2624.8309375,4066.61375
438,61,45,100.0,100,18:57:00,3020.558125,3691.4296875
437,62,45,100.0,100,18:57:00,902.901796875,7342.215625
436,8,45,100.0,100,18:57:00,3456.8159375,5386.9075
435,67,45,100.0,100,18:57:00,4711.3709375,2029.510625
439,76,45,100.0,100,18:57:00,2787.4578125,4038.559375
446,70,46,100.0,100,18:57:01,2177.86515625,4391.996875
447,98,46,100.0,100,18:57:01,3572.699375,4228.4909375
448,53,47,100.0,100,18:57:02,4132.7009375,3147.399375
455,48,48,100.0,100,18:57:03,3516.055,4188.8046875
454,52,48,100.0,100,18:57:03,4021.920625,3179.4103125
453,16,48,100.0,100,18:57:03,3542.078125,5357.075625
452,79,48,100.0,100,18:57:03,4110.1821875,3058.2253125
450,83,48,100.0,100,18:57:03,3452.6325,5441.608125
449,31,48,100.0,100,18:57:03,3343.5615625,3686.575
451,93,48,100.0,100,18:57:03,3261.3215625,3771.2203125
467,40,49,100.0,100,18:57:04,919.941953125,7246.09375
474,77,49,100.0,100,18:57:04,2107.639375,4370.044375
473,92,49,100.0,100,18:57:04,4894.9709375,1899.77640625
472,75,49,100.0,100,18:57:04,3904.5034375,3130.408125
471,11,49,100.0,100,18:57:04,1355.16328125,6971.58625
470,73,49,100.0,100,18:57:04,3690.3334375,4061.0934375
469,15,49,100.0,100,18:57:04,5098.8475,1441.6246875
468,6,49,100.0,100,18:57:04,3735.003125,3185.7775
466,59,49,100.0,100,18:57:04,3535.6765625,4381.7525
465,50,49,100.0,100,18:57:04,3605.8115625,4333.5621875
464,20,49,100.0,100,18:57:04,3584.2525,4353.7978125
463,39,49,100.0,100,18:57:04,3799.2396875,3111.6859375
462,7,49,100.0,100,18:57:04,3476.753125,4139.9684375
461,51,49,100.0,100,18:57:04,2788.2759375,3828.9775
460,89,49,100.0,100,18:57:04,3656.84625,4257.576875
459,60,49,100.0,100,18:57:04,4125.5675,2983.950625
458,32,49,100.0,100,18:57:04,3337.589375,3778.7115625
457,81,49,100.0,100,18:57:04,3280.5571875,3732.2153125
456,13,49,100.0,100,18:57:04,4156.7278125,2892.995
490,87,50,100.0,100,18:57:05,4237.2403125,2777.4484375
491,68,50,100.0,100,18:57:05,5149.6165625,1364.5965625
493,28,50,100.0,100,18:57:05,2114.51359375,4274.1484375
494,54,50,100.0,100,18:57:05,935.344609375,7299.99875
495,29,50,100.0,100,18:57:05,3141.5003125,3568.8575
499,43,50,100.0,100,18:57:05,4092.9215625,3052.1528125
497,94,50,100.0,100,18:57:05,5173.50625,1328.350625
498,56,50,100.0,100,18:57:05,5173.50625,1328.350625
489,19,50,100.0,100,18:57:05,5149.6165625,1364.5965625
500,65,50,100.0,100,18:57:05,936.0803125,7271.78625
496,24,50,100.0,100,18:57:05,4253.786875,3046.6990625
488,36,50,100.0,100,18:57:05,861.7753125,7235.035625
492,69,50,100.0,100,18:57:05,3543.0275,4181.40875
486,85,50,100.0,100,18:57:05,4177.4465625,2929.5921875
487,21,50,100.0,100,18:57:05,2188.729375,4306.50625
475,34,50,100.0,100,18:57:05,3856.673125,3103.6003125
476,86,50,100.0,100,18:57:05,3800.81,3121.648125
477,26,50,100.0,100,18:57:05,3022.68125,3478.8290625
479,58,50,100.0,100,18:57:05,3619.920625,4207.4640625
480,27,50,100.0,100,18:57:05,2210.15,4254.475625
478,49,50,100.0,100,18:57:05,2775.2853125,3757.45625
482,82,50,100.0,100,18:57:05,5060.3153125,1516.86375
483,99,50,100.0,100,18:57:05,5121.9975,1406.500625
484,4,50,100.0,100,18:57:05,3904.308125,2793.3075
485,9,50,100.0,100,18:57:05,3261.335625,3700.3209375
481,45,50,100.0,100,18:57:05,4779.04125,2226.2415625
509,1,51,100.0,100,18:57:06,4033.1028125,2920.7225
514,0,51,100.0,100,18:57:06,5253.36375,1207.18984375
513,37,51,100.0,100,18:57:06,3568.6009375,4037.1284375
512,23,51,100.0,100,18:57:06,2854.0671875,3513.998125
511,2,51,100.0,100,18:57:06,3539.2284375,4195.5871875
510,46,51,100.0,100,18:57:06,5240.244375,1227.0940625
508,14,51,100.0,100,18:57:06,2053.43125,6051.785
503,90,51,100.0,100,18:57:06,5194.625625,1296.30796875
506,71,51,100.0,100,18:57:06,3885.3303125,3049.7990625
505,95,51,100.0,100,18:57:06,2120.73671875,4254.6340625
504,88,51,100.0,100,18:57:06,3925.8590625,2884.576875
502,66,51,100.0,100,18:57:06,2744.8225,3874.538125
501,17,51,100.0,100,18:57:06,2202.285625,4273.47625
507,33,51,100.0,100,18:57:06,2785.3534375,3696.0615625
520,72,52,100.0,100,18:57:07,3848.2734375,3118.3125
522,41,52,100.0,100,18:57:07,2089.64515625,4201.9128125
521,42,52,100.0,100,18:57:07,3556.860625,4158.1246875
519,35,52,100.0,100,18:57:07,3453.7621875,4430.99625
515,78,52,100.0,100,18:57:07,3594.78,4428.7109375
517,5,52,100.0,100,18:57:07,3304.414375,3530.4715625
516,25,52,100.0,100,18:57:07,5264.144375,1190.83296875
518,44,52,100.0,100,18:57:07,3336.785,3625.87
528,80,53,100.0,100,18:57:08,3263.7578125,3717.1709375
527,3,53,100.0,100,18:57:08,3656.1659375,5310.5275
526,64,53,63.873111724853516,100,18:57:08,924.415859375,7228.835
529,91,53,100.0,100,18:57:08,3613.6009375,5309.4025
524,96,53,100.0,100,18:57:08,2968.800625,3464.424375
523,97,53,100.0,100,18:57:08,2105.08109375,4227.805
525,57,53,100.0,100,18:57:08,3660.0415625,5207.3503125
530,74,54,100.0,100,18:57:09,2056.30203125,4219.6175
531,22,54,100.0,100,18:57:09,3228.405625,3620.04
532,84,54,100.0,100,18:57:09,3664.7759375,3378.7365625
533,55,54,100.0,100,18:57:09,3125.8171875,3689.9190625
534,30,54,100.0,100,18:57:09,2099.46625,4288.1815625
541,18,55,100.0,100,18:57:10,3529.011875,5583.9625
544,63,55,100.0,100,18:57:10,3265.3509375,5244.443125
543,38,55,100.0,100,18:57:10,3622.3975,5757.66125
545,10,55,100.0,100,18:57:10,3559.8071875,5758.749375
540,12,55,100.0,100,18:57:10,2824.479375,3502.63
542,47,55,100.0,100,18:57:10,2533.70265625,3924.380625
538,76,55,100.0,100,18:57:10,2658.415625,3888.9915625
537,62,55,100.0,100,18:57:10,883.915859375,7354.128125
536,8,55,100.0,100,18:57:10,3684.5,5411.77625
535,67,55,100.0,100,18:57:10,5501.220625,831.13734375
539,61,55,100.0,100,18:57:10,2839.2596875,3535.9809375
546,70,56,100.0,100,18:57:11,1994.295,4226.230625
547,98,56,100.0,100,18:57:11,3656.5471875,4267.92625
548,53,57,100.0,100,18:57:12,4371.7225,3157.6103125
555,48,58,100.0,100,18:57:13,3646.53625,4242.868125
554,52,58,100.0,100,18:57:13,4222.23875,2976.409375
553,16,58,100.0,100,18:57:13,3679.8428125,5368.650625
552,79,58,100.0,100,18:57:13,4264.9015625,2905.4046875
550,83,58,100.0,100,18:57:13,3573.1971875,5476.041875
549,31,58,100.0,100,18:57:13,3253.1728125,3522.3490625
551,93,58,100.0,100,18:57:13,3260.336875,3642.856875
566,20,59,100.0,100,18:57:14,3725.884375,4350.7875
573,75,59,100.0,100,18:57:14,3774.468125,3022.670625
572,11,59,100.0,100,18:57:14,1340.54265625,6971.584375
571,73,59,100.0,100,18:57:14,3737.3046875,4154.7803125
570,92,59,100.0,100,18:57:14,5224.886875,2007.05828125
569,15,59,100.0,100,18:57:14,5513.12375,1001.549453125
568,6,59,100.0,100,18:57:14,3730.00125,3130.8990625
567,40,59,100.0,100,18:57:14,927.0965625,7225.3575
565,39,59,100.0,100,18:57:14,3765.54125,3051.0746875
556,13,59,100.0,100,18:57:14,4263.9525,2823.9609375
563,59,59,100.0,100,18:57:14,3675.12625,4374.3984375
562,7,59,100.0,100,18:57:14,3615.600625,4174.2028125
561,51,59,100.0,100,18:57:14,2626.3921875,3712.94875
560,89,59,100.0,100,18:57:14,3768.6509375,4316.046875
559,60,59,100.0,100,18:57:14,4271.02125,2840.57625
558,32,59,100.0,100,18:57:14,3248.470625,3640.3459375
557,81,59,100.0,100,18:57:14,2937.8353125,3796.8678125
564,50,59,100.0,100,18:57:14,3743.3971875,4339.868125
589,87,60,100.0,100,18:57:15,4278.416875,2778.568125
590,28,60,100.0,100,18:57:15,1999.87234375,4154.1409375
592,36,60,100.0,100,18:57:15,850.478359375,7252.30625
593,68,60,100.0,100,18:57:15,5683.70875,575.746875
594,69,60,100.0,100,18:57:15,3651.2509375,4179.21875
598,56,60,100.0,100,18:57:15,5736.56875,563.8760546875
596,24,60,100.0,100,18:57:15,4426.685,3122.084375
597,94,60,100.0,100,18:57:15,5662.3325,742.9678125
588,54,60,100.0,100,18:57:15,925.666171875,7296.07
599,65,60,100.0,100,18:57:15,935.842890625,7265.89375
600,43,60,100.0,100,18:57:15,4246.6475,2922.4125
595,29,60,100.0,100,18:57:15,2898.305,3431.2096875
587,21,60,100.0,100,18:57:15,2004.78078125,4161.9334375
591,19,60,100.0,100,18:57:15,5679.1625,785.85921875
585,9,60,100.0,100,18:57:15,3244.818125,3560.898125
586,85,60,100.0,100,18:57:15,4314.1396875,2861.8753125
574,77,60,100.0,100,18:57:15,1997.76484375,4253.045625
575,34,60,100.0,100,18:57:15,3873.5271875,2973.91875
576,86,60,100.0,100,18:57:15,3770.5640625,3074.45125
578,82,60,100.0,100,18:57:15,5387.46875,1594.36484375
579,99,60,100.0,100,18:57:15,5622.87625,899.378984375
577,26,60,100.0,100,18:57:15,2878.675625,3417.1971875
581,45,60,100.0,100,18:57:15,5109.0984375,2283.44640625
582,58,60,100.0,100,18:57:15,3717.5484375,4305.0371875
583,27,60,100.0,100,18:57:15,2046.23671875,4107.5359375
584,4,60,100.0,100,18:57:15,3902.2140625,2786.9690625
580,49,60,100.0,100,18:57:15,2629.7534375,3641.349375
608,14,61,100.0,100,18:57:16,1937.35828125,6211.234375
612,23,61,100.0,100,18:57:16,2596.2646875,3303.4546875
611,2,61,100.0,100,18:57:16,3642.8053125,4146.1971875
610,46,61,100.0,100,18:57:16,5625.875625,643.6755859375
609,1,61,100.0,100,18:57:16,3889.0925,2928.2925
607,33,61,100.0,100,18:57:16,2604.1028125,3534.211875
602,66,61,100.0,100,18:57:16,2605.07171875,3746.5946875
605,95,61,100.0,100,18:57:16,1949.08296875,4119.034375
604,88,61,100.0,100,18:57:16,3924.21625,2878.610625
603,90,61,100.0,100,18:57:16,5750.399375,561.76734375
601,17,61,100.0,100,18:57:16,2086.333125,4174.005625
606,71,61,100.0,100,18:57:16,3746.9603125,2984.9040625
619,35,62,100.0,100,18:57:17,3615.421875,4371.978125
622,41,62,100.0,100,18:57:17,1999.02796875,4080.561875
621,42,62,100.0,100,18:57:17,3580.734375,4169.940625
620,72,62,100.0,100,18:57:17,3807.5265625,3057.7084375
618,44,62,100.0,100,18:57:17,3247.6240625,3533.94875
614,0,62,100.0,100,18:57:17,5773.265625,551.234140625
616,25,62,100.0,100,18:57:17,5729.67,683.767421875
615,78,62,100.0,100,18:57:17,3613.8178125,4299.6921875
617,5,62,100.0,100,18:57:17,3176.1871875,3554.0840625
613,37,62,100.0,100,18:57:17,3665.70375,4130.228125
628,80,63,100.0,100,18:57:18,3237.2875,3598.7659375
627,3,63,100.0,100,18:57:18,3814.8440625,5371.618125
626,64,63,63.873111724853516,100,18:57:18,922.581171875,7223.314375
629,91,63,100.0,100,18:57:18,3769.91375,5349.536875
624,57,63,100.0,100,18:57:18,3823.2696875,5211.52625
623,97,63,100.0,100,18:57:18,1984.358125,4135.76625
625,96,63,100.0,100,18:57:18,2821.630625,3349.0390625
630,74,64,100.0,100,18:57:19,1938.79484375,4114.975
631,22,64,100.0,100,18:57:19,3145.3490625,3600.1496875
632,84,64,100.0,100,18:57:19,3388.014375,3561.445
633,30,64,100.0,100,18:57:19,1999.360625,4174.28125
634,55,64,100.0,100,18:57:19,3157.5678125,3606.795
645,10,65,100.0,100,18:57:20,3713.318125,5865.113125
644,63,65,100.0,100,18:57:20,3292.96375,5271.294375
643,38,65,100.0,100,18:57:20,3781.7240625,5872.409375
642,47,65,100.0,100,18:57:20,2421.65140625,3764.2196875
640,12,65,100.0,100,18:57:20,2663.513125,3395.530625
641,18,65,100.0,100,18:57:20,3640.6934375,5739.9725
638,76,65,100.0,100,18:57:20,2543.965625,3755.175625
637,62,65,100.0,100,18:57:20,892.641875,7338.36375
636,8,65,100.0,100,18:57:20,3850.9346875,5426.5275
635,67,65,100.0,100,18:57:20,5879.78625,534.3866796875
639,61,65,100.0,100,18:57:20,2683.6253125,3403.4865625
646,70,66,100.0,100,18:57:21,1873.10859375,4131.604375
647,98,66,100.0,100,18:57:21,3678.8603125,4238.520625
648,53,67,100.0,100,18:57:22,4563.73375,3180.5684375
654,52,68,100.0,100,18:57:23,4338.2153125,2933.3609375
653,16,68,100.0,100,18:57:23,3829.9878125,5373.9975
652,79,68,100.0,100,18:57:23,4365.771875,2809.7528125
650,83,68,100.0,100,18:57:23,3552.731875,5431.280625
