,ID,duration,health,number_alive,time,x,y
180,58,20,100.0,100,18:56:35,2748.48875,5007.6296875
209,1,21,100.0,100,18:56:36,2863.275,4833.474375
214,0,21,100.0,100,18:56:36,2880.3346875,4807.59125
212,23,21,100.0,100,18:56:36,2875.7596875,4814.5321875
211,2,21,100.0,100,18:56:36,2872.145625,4820.0159375
210,46,21,100.0,100,18:56:36,2868.5728125,4825.43625
208,14,21,100.0,100,18:56:36,2466.766875,5499.53875
213,37,21,100.0,100,18:56:36,2875.7596875,4814.5321875
206,71,21,100.0,100,18:56:36,2835.433125,4875.7165625
205,95,21,100.0,100,18:56:36,2828.6115625,4900.2184375
204,88,21,100.0,100,18:56:36,2830.5590625,4883.1115625
203,90,21,100.0,100,18:56:36,2821.8296875,4896.355625
202,66,21,100.0,100,18:56:36,2810.8471875,4913.018125
207,33,21,100.0,100,18:56:36,2838.61125,4870.894375
201,17,21,100.0,100,18:56:36,2808.3384375,4916.824375
222,41,22,100.0,100,18:56:37,2702.610625,5029.7471875
221,42,22,100.0,100,18:56:37,2950.360625,4701.3465625
220,72,22,100.0,100,18:56:37,2934.6946875,4725.1153125
219,35,22,100.0,100,18:56:37,2926.90375,4736.935625
217,44,22,100.0,100,18:56:37,2907.998125,4765.619375
216,25,22,100.0,100,18:56:37,2892.68375,4788.855
215,78,22,100.0,100,18:56:37,2884.186875,4801.74625
218,5,22,100.0,100,18:56:37,2907.998125,4765.619375
228,80,23,100.0,100,18:56:38,3016.72625,4600.655
230,74,23,100.0,100,18:56:38,2721.645,4963.505625
229,91,23,100.0,100,18:56:38,2690.2796875,5143.8340625
227,3,23,100.0,100,18:56:38,2777.3065625,5089.9140625
223,97,23,100.0,100,18:56:38,2817.5959375,4890.698125
225,96,23,100.0,100,18:56:38,2975.129375,4663.766875
224,57,23,100.0,100,18:56:38,2803.8059375,5047.4315625
226,64,23,100.0,100,18:56:38,1046.39453125,7269.766875
231,22,24,100.0,100,18:56:39,3066.9334375,4524.4809375
232,84,24,100.0,100,18:56:39,3069.564375,4520.4884375
233,55,24,100.0,100,18:56:39,3088.0384375,4492.459375
234,30,24,100.0,100,18:56:39,2810.339375,4879.8984375
242,47,25,100.0,100,18:56:40,2937.0234375,4682.5440625
245,10,25,100.0,100,18:56:40,2722.335,5456.73625
244,63,25,100.0,100,18:56:40,2711.4115625,5208.54
243,38,25,100.0,100,18:56:40,2784.963125,5393.949375
241,18,25,100.0,100,18:56:40,2943.9765625,4871.7678125
237,62,25,100.0,100,18:56:40,1031.66015625,7331.4875
239,76,25,100.0,100,18:56:40,3152.12125,4395.23125
