,match,x,y
91,2.0,2309.7209375,759.191953125
92,2.0,2286.4303125,1542.5615625
93,2.0,1927.15171875,1803.14203125
94,2.0,1829.14,1881.5959375
95,2.0,1879.79203125,1910.6753125
96,2.0,1921.19453125,1798.323125
97,2.0,1928.4578125,1801.82234375
98,2.0,2483.568125,1433.74484375
99,2.0,1993.5196875,1768.40453125
100,2.0,2000.4409375,1763.18515625
101,2.0,2489.7078125,1429.40546875
102,2.0,1911.9328125,2645.638125
103,2.0,2483.95,1431.45890625
104,2.0,2476.628125,1423.53703125
105,2.0,2488.061875,1431.75375
106,2.0,1958.070625,1778.45890625
107,2.0,2490.67453125,1429.14421875
108,2.0,1903.04875,2673.9871875
109,2.0,1974.743125,1901.47203125
110,2.0,2285.00828125,735.348046875
111,2.0,1889.34796875,2733.8828125
112,2.0,3266.141875,3425.98625
113,2.0,3260.383125,3480.103125
114,2.0,1957.7046875,1937.55109375
115,2.0,3263.0421875,3480.0128125
116,2.0,1897.14234375,2647.061875
117,2.0,2273.7903125,751.958046875
118,2.0,2293.34671875,770.42015625
119,2.0,1956.91890625,1777.2725
120,2.0,1936.14609375,1897.24234375
121,2.0,3229.7659375,3505.9834375
122,2.0,3342.2578125,3539.5534375
123,2.0,1464.3175,3497.9371875
124,2.0,2591.44234375,1347.7984375
125,2.0,1459.6415625,3528.2815625
126,2.0,1458.79203125,3537.8134375
127,2.0,1463.21875,3498.9815625
128,2.0,1452.14078125,3538.326875
129,2.0,3269.86125,3534.2334375
130,2.0,3268.868125,3534.534375
131,2.0,1461.21515625,3535.4721875
132,2.0,2587.33671875,1361.59375
133,2.0,2582.65921875,1339.17078125
134,2.0,1872.97109375,2742.630625
135,2.0,1887.17234375,2749.100625
136,2.0,1888.22890625,2761.83875
137,2.0,1905.15171875,2758.440625
138,2.0,1877.24671875,1962.005625
139,2.0,1462.30453125,3536.479375
140,2.0,1462.27546875,3538.8384375
141,2.0,1899.2309375,2033.1046875
142,2.0,0.0,0.0
143,2.0,2098.75359375,1475.20953125
144,2.0,2095.3271875,1476.205625
145,2.0,1692.06203125,1281.90875
146,2.0,1691.55921875,1279.313671875
147,2.0,1714.49953125,1280.1809375
148,2.0,1710.32953125,1271.935234375
149,2.0,1741.063125,1263.449765625
150,2.0,1741.33953125,1288.362265625
151,2.0,3457.8240625,2048.9521875
152,2.0,3464.6059375,2044.4703125
